asin,profile
0005946468,Five Stars great
0123034892,Five Stars Good product
0124784577,Product delivers Makes my hair look healthy Perfectly and all the above! I exercise a lot being older you don't  smell the best put this shampoo make a big difference! Que cumplió con mis expectativas de higiene para el pelo La manera de entrega poca seguridad de que lleve bien para su uso
0515059560,"Barbara's best work is in her Regency period Although this is an earlier work, I have to say that for me, Barbara's best work is in her Regency period. This is a little slow and heavy. If you like her work, definitely add it to your library."
0615675026,"A disorganized mess I have to disagree with the other reviewers of this product.  Profoundly.<br />This book is a mess.  I expected insignia and artifacts, arranged in some sort of order.  What I got was a disorganized mess, with cuffbands, rank insignia, specialty diamonds and other artifacts spread without any apparent order throughout the book.  Then, there's a rather long departure while we're told of the circumstances of an SS commander's death and disposition...then back to the insignia.  That, and the editor (the author being deceased) reminds us again and again of war crimes, excesses, and just plain beastliness again and again and again.  Add to that that the book itself is ridiculously expensive...you could buy one of the $20-25 books if you want to see and make sense of uniforms, insignia and whatever &#34;artifacts&#34; are supposed to be.  I bought this on the strength of the other Michael Beaver books I own and treasure.  This book was a hot mess."
0692508988,Delightful and Profound This is a wonderful tool. Visually and tactilely pleasing. Profoundly fun to use. And full of wisdom dished out in easily digestible portions. Working with this deck has helped me increase my capacity to listen to others more deeply and to enjoy that process more and more.
069267599X,"Sigh I soo much wanted to Really love this deck! I Really love the art work but as oracle cards it lacks. Since each card has the meaning printed on the back (left photo, &#34;Courage&#34;, right photo is the 'couragous' cat) a lot of the illustrations are too subtle, not reflecting the meaning enough or at all.<br />Also, I wish it allowed the reader to pick a card without seeing the cats (or the meanings), the only way to do so is close your eyes and pick one!<br />For a $20. Oracle deck with no booklet and a design that's pretty limited, I wish I bought a print or calendar of the cats instead. Beautiful artwork! Even if you weren't interested on the lovely, uplifting messages on the back of each card... being able to take a break and immerse in the soft, warm, glow of the kitty art will renew your heart and soul. Enjoy! Wrote review Already wrote review Good art/ fun deck Adorable. Good card stock. Artwork is lovely. No need for interpretation, the cards' meanings are typed on the back. I ordered them and was not disappointed. The cards are well made and beautifully drawn I wandered onto Amazon looking for a set of cards with cats and found this delightful set of 48 inspirational cards. The sample drawings were so intriguing, I ordered them and was not disappointed. The cards are well made and beautifully drawn. The explanation for each spirit cat is on the card which makes it easy to draw a card for inspiration and in the author's words, ignite intuition. Highly recommend. I just love this deck! Super cute and charming. Hmm. I love the art. Messages are a bit fluffy ... A very positive deck, I paid like $27 on kickstarter wish i would have waited. I draw with my 3 year old and she loves them, some stories/descriptions on the back of the card can almost be in a child's book. So choose wisely, if I didn't have a small child to enjoy these with I might not use them as often. I wish the messages were deeper it seems like they were an afterthought to the art. Maybe the messages could be more mature ? I'm just not in love with this deck how I thought I'd be. Love these cards Great deck for cat lovers Sweet deck with lovely whimsical art. There is something so light and sweet about this deck, it’s a softer energy. Really love the whimsical art. Beautiful I couldn't be happier with these! They are beautiful and well made. Im new to Oracle and this is my first deck. Even if you arent into oracle, you could have fun with these! Looking forward to using these."
0764490117,"Amazing VBS kit! We just completed our week of VBS. We had about 60 kids ages 4-12 and it was a blast. The Bible points and Bible buddies were great, the DVD's were great quality and the science gizmos were spectacular! My 5 kids loved it and all the adults said it was an easy kit to use! Highly recommend. The songs are amazing too! Great for any church and complete from leader to teacher books! My church uses these starter kits with a different theme each and every yea. The music is fun to sing and dance to. The dvd with the music videos makes it easy for everyone to learn the movements and the song on the very first day. The themes are so much and totally recommend for any size church or group! The bible adventures are great fun for the kids while they get to learn about Gods love and bible stories!"
0816091846,"Wish she would'a done comedy, too! Spacek can turn any role into gold; unfortunately, her costars can't. ... it once in a while just to remember the fun I had I was an extra in this movie so I watch it once in a while just to remember the fun I had. loved the movie love the move Three for the price of 1 I 've seen 2 of the 3 films & loved them both.  Sissy Spacek can hold her own among the best of the best.  I would have to say that Night Mother is my favorite.  Suicide is such a delicate subject but they brought it across w/o a hitch.  This is a true portrayal of denial on her mother's part & Sissy is determined to complete her objective. Five Stars I really think Sissy is fine actress,so if you do too,then you make this purchase.Packaged well,quick delivery. Five Stars great movies Five Stars A++++ Service!!! Three for one. Good, clean transfers. And how can you go wrong with three films on one disc? Happy. My fav movies. Five Stars She's one of our favorite actresses, liked getting 3 movies on one disc even though they are slightly edited."
0963416391,"Eyes Open... Every once in a while a book comes my way that smacks me upside the head and makes me see the world in a different way.  Votescam is such a book.  I thought I was fairly educated on vote fraud having to do with the stealing of the 2000 and 2004 elections in the US and the danger of using the electronic touch screen machines and other irregularities, but I had no idea of the depth of the earlier fraudulent practices and how long it had been going on.  Votescam gave me a different perspective and added to the sick feeling that America is lost and has been since before I was born.  Well-known names, such as Janet Reno and Anthony Scalia, pepper the book.  They came up in the voting irregularities and the search for justice in a fixed system for the rich and powerful.  It really does seem that America was lost with the murders of JFK, King, and RFK and is now just a playground of pathological individuals that have rigged the system and spun a web of lies and propaganda that allows them to have near complete control on policy on nearly every topic.  The media plays a large role in this and features prominently in the scam that is the US voting system.<br /><br />Read this book!  Don't be ignorant and think that your vote counts.  Solutions may be hard to come by, but the one thing that each individual can control is what they believe and how they react to such information and beliefs."
0966068432,Its a Great book to learn the human body Functions Its a Great book to learn the human body Functions! Its a good Book for students or even adults! Five Stars Great read!
0976651246,A jaded view from the top His points are as obvious as his title. A successful career and life from a singular point of view. Mr Papone oversaw some of this centuries most successful advertising and his analysis of that process is interesting. Having spent time as an employee of Ogilvy Mather I cannot share the same level of love he has for that firm and its work but that is another story. If you want to read yet another business book on personal experiences you won't waste your time. But to me it is/was one of what we called a BGO. Blinding Glimpse of the Obvious.
0977217205,Love Will buy more
0977217213,Five Stars Good words fall off Great I like but they are not stickers so they are a hassle to keep on items that you constantly use.
0977949125,"Great Value I have reviewed all four of the videos produced by the Duke Brothers and they are all top quality.  They have enough detail to save a person many hours of research and go a long way to ensuring a successful trip.  Coordinates are even provided indicating specific areas where the best fishing is to be found, campsites and etc.  These videos are designed to provide a great experience while avoiding unnecessary expense. Very accurate and invaluable for this trip. Great.  Gives you a very accurate and realistic guide to the float.  This took a lot out of the unknown.  Descibest rapids in detail and how to adjust. Awesome dvds.... I have all these Duke Brothers dvds. Just awesome. I do float trips on remote Alaska rivers each year and watching these dvds just adds to my list of must do trips. If you like doing float trips in Alaska, fishing for salmon, gear not flyfishing that is, get these dvds. Nice guys too. Visit the Duke Brothers website and shoot them an email. They actually personally email you. A lost thing this day and time."
